title,price,make,model,yom,mileage,engine_cc,location,url,scrape_date
Hero Pleasure 2014,335000,Hero,Pleasure,2014,40000,100,Jaffna,https://ikman.lk/en/ad/hero-pleasure-2014-for-sale-jaffna-148,2026-02-21
Bajaj CT100 2015,260000,Bajaj,CT100,2015,36000,100,Puttalam,https://ikman.lk/en/ad/bajaj-ct100-original-2015-for-sale-puttalam,2026-02-21
Bajaj Discover 125 Disc ES New 2025,258975,Bajaj,Discover 125,2025,0,125,Colombo,https://ikman.lk/en/ad/bajaj-discover-125-disc-es-new-2025-for-sale-colombo-2,2026-02-21
TVS Metro 2012,165000,TVS,Metro,2012,63200,100,Polonnaruwa,https://ikman.lk/en/ad/tvs-metro-2012-for-sale-polonnaruwa-4,2026-02-21
Hero Dash 2016,260000,Hero,Dash,2016,35550,110,Kurunegala,https://ikman.lk/en/ad/hero-dash-2016-for-sale-kurunegala-922,2026-02-21
Yamaha Ray ZR 2025,854900,Yamaha,Ray ZR,2025,0,125,Colombo,https://ikman.lk/en/ad/yamaha-ray-zr-2025-for-sale-colombo-6,2026-02-21
Bajaj Platina 2015,360000,Bajaj,Platina,2015,85424,100,Monaragala,https://ikman.lk/en/ad/bajaj-platina-2015-for-sale-monaragala-79,2026-02-21
Bajaj Pulsar NS200 2018,880000,Bajaj,Pulsar NS200,2018,55670,200,Colombo,https://ikman.lk/en/ad/bajaj-pulsar-ns200-2018-for-sale-colombo-1380,2026-02-21
KTM RC 200 2019,1675000,KTM,RC 200,2019,67850,199,Batticaloa,https://ikman.lk/en/ad/ktm-rc-200-2019-for-sale-batticaloa-3,2026-02-21
TVS Apache 180 2017,535000,TVS,Apache,2017,55000,180,Batticaloa,https://ikman.lk/en/ad/tvs-apache-180-sale-2017-for-sale-batticaloa,2026-02-21
Yamaha Ray ZR STREET RALLY 2019,515000,Yamaha,Ray ZR,2019,69000,110,Kurunegala,https://ikman.lk/en/ad/yamaha-ray-zr-street-rally-2019-for-sale-kurunegala-58,2026-02-21
Suzuki Choi Nori 2022,108500,Suzuki,Other Model,2022,6000,48,Gampaha,https://ikman.lk/en/ad/suzuki-choi-nori-2022-for-sale-gampaha-1,2026-02-21
TVS Raider 125 2026,156990,TVS,Raider 125,2026,0,125,Colombo,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-357,2026-02-21
Bajaj Chetak Electric 2026,342000,Bajaj,Chetak Electric,2026,0,4,Kalutara,https://ikman.lk/en/ad/bajaj-chetak-electric-2026-for-sale-kalutara-3,2026-02-21
TVS Ntorq 2026,55700,TVS,Ntorq,2026,0,125,Kalutara,https://ikman.lk/en/ad/tvs-ntorq-2026-for-sale-kalutara-114,2026-02-21
Bajaj Pulsar 150 2011,340000,Bajaj,Pulsar 150,2011,78000,150,Gampaha,https://ikman.lk/en/ad/bajaj-pulsar-150-2011-for-sale-gampaha-714,2026-02-21
Honda Dio 2019,620000,Honda,Dio,2019,53200,110,Kurunegala,https://ikman.lk/en/ad/honda-dio-2019-for-sale-kurunegala-1548,2026-02-21
Rise Leader 125 Brand New 2026,696500,Rise,Leader,2026,0,125,Kegalle,https://ikman.lk/en/ad/rise-leader-125-brand-new-2026-for-sale-kegalle,2026-02-21
Hero CD 100 2011,170000,Hero,CD 100,2011,80000,100,Colombo,https://ikman.lk/en/ad/hero-cd-100-2011-for-sale-colombo-1,2026-02-21
KTM Duke 160 2026,739950,KTM,Duke,2026,0,160,Gampaha,https://ikman.lk/en/ad/ktm-duke-160-2026-for-sale-gampaha-3,2026-02-21
Bajaj CT100 used 2025,530000,Bajaj,CT100,2025,2750,100,Kandy,https://ikman.lk/en/ad/bajaj-ct100-used-2025-for-sale-kandy,2026-02-21
Bajaj Discover 135 2010,440000,Bajaj,Discover,2010,52000,135,Gampaha,https://ikman.lk/en/ad/bajaj-discover-discovery-135-2010-for-sale-gampaha-4,2026-02-21
Bajaj CT100 2024,550000,Bajaj,CT100,2024,6714,100,Colombo,https://ikman.lk/en/ad/bajaj-ct100-2024-for-sale-colombo-3085,2026-02-21
TVS Ntorq 125 2026,158500,TVS,Ntorq 125,2026,0,125,Kalutara,https://ikman.lk/en/ad/tvs-ntorq-125-2026-for-sale-kalutara-192,2026-02-21
TVS Raider 125 2025,800000,TVS,Raider 125,2025,0,125,Colombo,https://ikman.lk/en/ad/tvs-raider-125-2025-for-sale-colombo-3254,2026-02-21
TVS Ntorq 125 2026,165800,TVS,Ntorq 125,2026,0,125,Gampaha,https://ikman.lk/en/ad/tvs-ntorq-125-2026-for-sale-gampaha-40,2026-02-21
TVS Ntorq 125 2020,595000,TVS,Ntorq 125,2020,47300,125,Gampaha,https://ikman.lk/en/ad/tvs-ntorq-125-2020-2020-for-sale-gampaha,2026-02-21
Honda Twister 2017,335000,Honda,Twister,2017,60000,110,Ampara,https://ikman.lk/en/ad/honda-twister-2017-for-sale-ampara-31,2026-02-21
Honda CD50 2000,175000,Honda,Other Model,2000,37385,50,Gampaha,https://ikman.lk/en/ad/honda-cd-70-50-2000-for-sale-gampaha,2026-02-21
