title,price,make,model,yom,mileage,engine_cc,location
Hero Xoom 110 2025,715900,Hero,Xoom 110,2025,0,110,Colombo
Bajaj Pulsar N160 160 2026,416500,Bajaj,Pulsar N160,2026,0,160,Colombo
TVS Ntorq Brand New 2026,178500,Tvs,Ntorq,2026,0,125,Kalutara
Bajaj Pulsar 180 2011,365000,Bajaj,Pulsar 180,2011,754008,180,Trincomalee
TVS Raider 125 Brand New 2026,99700,Tvs,Raider 125,2026,0,125,Kalutara
Honda Super Cub 2005,185000,Honda,Super Cub,2005,50000,50,Kurunegala
Hero XOOM 125R 2026,248000,Hero,Xoom 125R,2026,2,125,Gampaha
Hero Xoom 110 combat 2025,719900,Hero,Other Model,2025,0,110,Colombo
Hero HF Deluxe 2025,200000,Hero,Hf Deluxe,2025,0,100,Colombo
Bajaj Pulsar 135 2012,245000,Bajaj,Pulsar 135,2012,100000,135,Kalutara
TVS Ntorq 2025,700000,Tvs,Ntorq,2025,1669,125,Puttalam
Hero HF Deluxe 2025,577900,Hero,Hf Deluxe,2025,0,100,Colombo
Bajaj CT100 2009,240000,Bajaj,Ct100,2009,38257,100,Monaragala
Hero Xtreme 125R 2025,776900,Hero,Xtreme 125R,2025,0,125,Colombo
TVS Raider 125 2026,259000,Tvs,Raider 125,2026,0,125,Colombo
Hero Xtreme 125R 2025,275000,Hero,Xtreme 125R,2025,0,125,Colombo
Hero Hunk 160R 2025,320000,Hero,Hunk 160R,2025,0,160,Colombo
Hero Hunk 160R 2025,909900,Hero,Hunk 160R,2025,0,160,Colombo
TVS Apache RTR 160 2009,240000,Tvs,Apache Rtr 160,2009,100000,160,Colombo
Yamaha Ray ZR 125 2026,269950,Yamaha,Ray Zr,2026,0,125,Colombo
Bajaj Discover 100 2012,230000,Bajaj,Discover,2012,36161,100,Galle
Hero Xoom 110 Brand New 2026,214970,Hero,Xoom 110,2026,0,110,Colombo
Bajaj CT100 2026,184500,Bajaj,Ct100,2026,0,100,Colombo
